instance_id,variant,tests_ok,fmt_ok,clippy_ok,unsafe_count,unwrap_count,notes
uutils__coreutils-6575,gold,False,False,False,0,2,cargo fmt failed; cargo clippy failed; unwrap/expect found in added lines
uutils__coreutils-6575,mut_unwrap,False,False,False,0,4,cargo fmt failed; cargo clippy failed; unwrap/expect found in added lines
uutils__coreutils-6575,mut_unsafe,False,False,False,2,2,cargo fmt failed; cargo clippy failed; unwrap/expect found in added lines; unsafe found in added lines
uutils__coreutils-6682,gold,False,False,False,0,0,cargo fmt failed; cargo clippy failed
uutils__coreutils-6682,mut_unwrap,False,False,False,0,3,cargo fmt failed; cargo clippy failed; unwrap/expect found in added lines
uutils__coreutils-6682,mut_unsafe,False,False,False,1,0,cargo fmt failed; cargo clippy failed; unsafe found in added lines
uutils__coreutils-6690,gold,False,False,False,0,0,cargo fmt failed; cargo clippy failed
uutils__coreutils-6690,mut_unwrap,False,False,False,0,1,cargo fmt failed; cargo clippy failed; unwrap/expect found in added lines
uutils__coreutils-6690,mut_unsafe,False,False,False,1,0,cargo fmt failed; cargo clippy failed; unsafe found in added lines
uutils__coreutils-6731,gold,False,False,False,0,0,cargo fmt failed; cargo clippy failed
uutils__coreutils-6731,mut_unwrap,False,False,False,0,1,cargo fmt failed; cargo clippy failed; unwrap/expect found in added lines
uutils__coreutils-6731,mut_unsafe,False,False,False,1,0,cargo fmt failed; cargo clippy failed; unsafe found in added lines
